Nationality,Count of Nationality
United Arab Emirates,16515
India,2575
Pakistan,1776
Egypt,1580
Syria,1383
Yemen,1135
Jordan,1127
Sudan,770
Palestine,701
The Philippines,547
Sultanate of Oman,431
Saudi Arabia,361
Iran,347
Comoros,342
Iraq,291
Bangladesh,218
Lebanon,200
Britain,192
America,185
Somalia,150
Morocco,149
Afghanistan,127
Canada,94
The United Kingdom,77
Algeria,69
France,69
Sri Lanka,54
Ethiopia,51
Tunisia,46
South Africa,42
Russia,37
Germany,35
Mauritania,32
Australia,32
Bahrain,29
Kenya,29
Brazil,29
Kuwait,26
Malaysia,22
China,21
Tanzania,20
Netherlands,18
Ukraine,16
Turkey,16
Libya,15
Denmark,15
Italy,15
Arteries,13
Nepal,13
Uzbekistan,13
Nigeria,12
Commonwealth of Dominica,12
Sweden,12
New Zealand,11
Ireland,10
Singapore,10
Djibouti,10
Indonesia,9
Spain,9
Armenia,7
Portugal,7
Poland,6
Kazakhstan,6
Saint Kitts and Nevis,6
Chad,6
Mexico,6
Azerbaijan,6
Romania,6
Slovakia,5
South Korea,5
Qatar,5
Bulgaria,5
Colombia,5
Zimbabwe,5
Austria,5
Switzerland,4
Tajikistan,4
Serbia,4
Belarus,4
Venezuela,4
Qarqistan,4
Belgium,4
Ghana,3
Greece,2
The Cameroon,2
Mozambique,2
Antigua and Barbuda,2
Grenada,2
Norway,2
Bosnia and Herzegovina,2
Mauritius,2
Uganda,2
Moldova,2
Rwanda,2
Turkmenistan,2
Mali,2
Argentina,2
Japan,2
Trinidad,2
Vietnam,1
The Congo,1
Taiwan,1
Suriname,1
The Niger,1
Guatemala,1
Saint Lucia,1
Burkina Faso,1
Ecuador,1
Latvia,1
Chile,1
State of Israel,1
Thailand,1
Estonia,1
Fiji,1
Liberia,1
Jamaica,1
Lithuania,1
Hungary / Hungary,1
Malta,1
Gambia,1
Check,1


